"","lag","estimate","lower","upper","p.value","dataset","p.value.cat"
"1",0,-0.0330144538471263,-0.135206819689317,0.0698729175206053,0.529513921219574,"fktp","no sig"
"2",1,0.0475977837523749,-0.0554652386198769,0.149657212791784,0.365201770402243,"fktp","no sig"
"3",2,0.107117040929607,0.00423037658034807,0.207759609988584,0.0413815341488049,"fktp","sig"
"4",3,0.064938427583587,-0.0383941193009571,0.166896846178466,0.217737718005319,"fktp","no sig"
"5",4,0.10946250903701,0.00631547471824945,0.210304761435127,0.0376334212123309,"fktp","sig"
"6",5,0.0690640249898598,-0.0345443951069933,0.171203695172311,0.191076210836553,"fktp","no sig"
"7",6,0.0441354301655094,-0.0596428886845805,0.146969884968907,0.404429219562912,"fktp","no sig"
"8",7,-0.0141598800082292,-0.117637714824147,0.0896221456465954,0.789473844771179,"fktp","no sig"
"9",8,-0.0229342286542822,-0.126429000199128,0.0810544520751887,0.665838378614425,"fktp","no sig"
"10",9,0.0393806975871278,-0.0648262435595622,0.142738017550582,0.458870688853956,"fktp","no sig"
"11",10,-0.0107349310172744,-0.114694834264038,0.093457557163928,0.840265362209237,"fktp","no sig"
"12",11,0.0736000763769036,-0.0308719182637468,0.17648131603727,0.167047217587145,"fktp","no sig"
"13",12,0.057539606218193,-0.0471263142238442,0.16095575466816,0.280975706091804,"fktp","no sig"
"14",13,0.0661778947825731,-0.0386204897349927,0.169536322048588,0.215512512213278,"fktp","no sig"
"15",14,0.0349460519437014,-0.0699901873816804,0.139117342499444,0.514028375827783,"fktp","no sig"
"16",0,-0.0540659413264087,-0.156130354936769,0.0491408447309054,0.304282385694915,"fkrtl","no sig"
"17",1,0.00962422561738144,-0.0935441256248936,0.112588089089148,0.855202672198362,"fkrtl","no sig"
"18",2,0.0622405957128677,-0.0412427531489149,0.164402800609144,0.238153778101902,"fkrtl","no sig"
"19",3,0.0265599932798953,-0.077013252427148,0.129566118849573,0.61547306273716,"fkrtl","no sig"
"20",4,0.133384731398362,0.0302971633703447,0.233664588320053,0.0114134140510543,"fkrtl","sig"
"21",5,0.0792782941059269,-0.0245741263996501,0.18143786587166,0.134360201374747,"fkrtl","no sig"
"22",6,0.0203225094645711,-0.0836496729261832,0.123856979447945,0.701960466289894,"fkrtl","no sig"
"23",7,-0.0350589551055517,-0.138495853041074,0.069134565407956,0.509659895997183,"fkrtl","no sig"
"24",8,-0.0303866315510413,-0.134050705260994,0.0739352780202069,0.568243304878317,"fkrtl","no sig"
"25",9,0.0259064437349721,-0.0785407989389805,0.12979111479357,0.627120015025355,"fkrtl","no sig"
"26",10,-0.0174466697614763,-0.121608077974018,0.0870948142817388,0.743928541912032,"fkrtl","no sig"
"27",11,0.124702754170538,0.0204379483472193,0.226284284824343,0.0192604218219066,"fkrtl","sig"
"28",12,0.0725717500907808,-0.0323542434867948,0.175915554335207,0.174917662310289,"fkrtl","no sig"
"29",13,0.0529676991117557,-0.0521517038018974,0.156926177298759,0.323111609373889,"fkrtl","no sig"
"30",14,0.0140077343741916,-0.09110633116789,0.118813106408853,0.794277555010631,"fkrtl","no sig"
