"","lag","estimate","lower","upper","p.value","dataset","p.value.cat"
"1",0,0.184383770149457,-0.0932065521381513,0.435376637544955,0.190689928920308,"fktp","no sig"
"2",1,-0.0201991508135309,-0.294145444770376,0.256814090322989,0.888115697597045,"fktp","no sig"
"3",2,0.154771157804886,-0.129139934769631,0.415230657130768,0.283181459043243,"fktp","no sig"
"4",3,0.063118066304379,-0.222019043120708,0.338310125991395,0.666576968057943,"fktp","no sig"
"5",4,-0.0325903452090235,-0.31381906374734,0.253895436796105,0.825949778246901,"fktp","no sig"
"6",5,0.0973730591925168,-0.195253491262467,0.374079736890063,0.514962295263296,"fktp","no sig"
"7",6,0.151584245707812,-0.145098815154367,0.423257029270488,0.314595092665119,"fktp","no sig"
"8",7,0.0548341648063529,-0.242604635301737,0.34284967563194,0.720525117995207,"fktp","no sig"
"9",8,-0.15089758931633,-0.428578281872671,0.152829309981394,0.328203207928681,"fktp","no sig"
"10",0,0.152976017996839,-0.1251489181062,0.408809675722724,0.278942546977352,"fkrtl","no sig"
"11",1,-0.0452162815034525,-0.316851705048792,0.233274188654094,0.7527125005194,"fkrtl","no sig"
"12",2,0.112510833322705,-0.171198326084177,0.378989681306178,0.436613678051024,"fkrtl","no sig"
"13",3,0.101547656849655,-0.184929565592442,0.372118454201438,0.487505891095662,"fkrtl","no sig"
"14",4,0.019129772545155,-0.266453213918993,0.301625008377915,0.897315636663289,"fkrtl","no sig"
"15",5,0.0200620684682525,-0.268652493212109,0.305469024092196,0.893522448725118,"fkrtl","no sig"
"16",6,0.12770752201875,-0.168850352352968,0.403062723465742,0.397670750699246,"fkrtl","no sig"
"17",7,0.079601374845141,-0.219050813245587,0.364615782636079,0.603215559884466,"fkrtl","no sig"
"18",8,-0.175308898252846,-0.448829587025556,0.128246141548666,0.255023482111652,"fkrtl","no sig"
