"","lag","estimate","lower","upper","p.value","dataset","p.value.cat"
"1",0,0.135239785645639,0.0205785654594172,0.246389635735542,0.0210158196198061,"fktp","sig"
"2",1,0.247745460843277,0.136657066654299,0.352680203801141,1.91257213717544e-05,"fktp","sig"
"3",2,0.20034270587057,0.0873742098312213,0.308223788693094,0.000586461127192629,"fktp","sig"
"4",3,0.143152721716456,0.0286429636929483,0.253953890222968,0.0145216897754699,"fktp","sig"
"5",4,0.0914888778463975,-0.0239430110926218,0.204513373126188,0.120057465820611,"fktp","no sig"
"6",5,0.0803275415236718,-0.0353793424278882,0.193909352592936,0.173244721509804,"fktp","no sig"
"7",6,0.10803218518776,-0.0076426653559147,0.220853958899574,0.0671370842867752,"fktp","no sig"
"8",7,0.165316087524592,0.0505018068416596,0.275817720964484,0.00498882977740973,"fktp","sig"
"9",8,0.154000115209193,0.0387080465204303,0.265245886240714,0.00909263054283237,"fktp","sig"
"10",9,0.19647672747342,0.0821653412226323,0.305685581708999,0.000853314317963715,"fktp","sig"
"11",10,0.13711140057121,0.0212630723899218,0.249326547445872,0.0205866743701485,"fktp","sig"
"12",11,0.132118507419475,0.0159723755925372,0.244746661768043,0.025984076737657,"fktp","sig"
"13",12,0.133242359392981,0.0169075111750556,0.24601781217938,0.02498939656151,"fktp","sig"
"14",13,0.0728046455780885,-0.0443771186521428,0.188010210757803,0.22292560549617,"fktp","no sig"
"15",14,0.157135904546541,0.0408751114045442,0.269198550546483,0.00832126051733659,"fktp","sig"
"16",0,0.091660106566595,-0.0235695146459265,0.204486205068234,0.118721976206436,"fkrtl","no sig"
"17",1,0.159305761680989,0.0451515935114665,0.269353190974749,0.00646394180600459,"fkrtl","sig"
"18",2,0.0949619980302863,-0.0202402194156849,0.207675637299446,0.10596177334899,"fkrtl","no sig"
"19",3,0.076665901028792,-0.0386560752379911,0.189972484839374,0.192194886149607,"fkrtl","no sig"
"20",4,0.144221243696885,0.0295322278235121,0.255162241987099,0.0139613241743689,"fkrtl","sig"
"21",5,0.0920967978733361,-0.023532240850287,0.205294317578912,0.118245130795103,"fkrtl","no sig"
"22",6,0.0834616303171755,-0.0324306320054477,0.197139357902328,0.157744869456184,"fkrtl","no sig"
"23",7,0.111349216286013,-0.00448957160460833,0.224239206839182,0.0595642088843046,"fkrtl","no sig"
"24",8,0.138496486064427,0.0228805724734313,0.250456774750031,0.0191173885299113,"fkrtl","sig"
"25",9,0.173006718643641,0.0579852268748869,0.283495202332134,0.00338984724241861,"fkrtl","sig"
"26",10,0.105581339473056,-0.0107374397512112,0.219080894550862,0.0751477070877654,"fkrtl","no sig"
"27",11,0.232235722399575,0.119062266646801,0.339451973527148,7.79583230194783e-05,"fkrtl","sig"
"28",12,0.105296943279657,-0.0114410412500812,0.219203224591705,0.0769860313275518,"fkrtl","no sig"
"29",13,0.0504023765640059,-0.0667952472264842,0.166228140724733,0.399129772413383,"fkrtl","no sig"
"30",14,0.0710674494807548,-0.0463301790049847,0.186528677322108,0.235030733760593,"fkrtl","no sig"
